time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz,mouth_tx,mouth_ty,mouth_tz
0.01,360.4588,501.3386,380.2676,-3.794409,6.68819,-3.946318,-5.784812,-37.69417,6.193579,87.72043,83.40235,593.4509,237.1473,594.4057,610.2844,246.6538,541.8538,194.8352,302.954,698.8878,435.3582,757.319,383.7784
0.02,360.506,501.2641,380.2804,-3.788586,6.666883,-3.939421,-5.800163,-37.67825,6.202291,87.71954,83.38286,593.5375,237.0867,594.3615,610.3079,246.6435,541.6981,194.9012,302.8518,698.8377,435.4712,757.2272,383.8405
0.03,360.5702,501.2058,380.283,-3.780363,6.674916,-3.956057,-5.802094,-37.66802,6.233336,87.73337,83.36222,593.5968,237.0337,594.2798,610.3299,246.6112,541.5482,194.9785,302.8175,698.8095,435.6536,757.1732,383.8934
0.04,360.7422,501.1994,380.3183,-4.203609,6.758115,-3.992106,-5.290934,-37.6851,6.23214,87.63917,82.48543,593.5636,237.6164,594.0562,610.3302,246.5666,541.3983,195.0262,302.7374,698.7337,435.7973,757.0883,383.9621
0.05,360.7971,501.1534,380.3239,-4.238751,6.76563,-3.996698,-5.263994,-37.67429,6.248938,87.63926,82.4724,593.6267,237.608,593.9798,610.3722,246.5644,541.2116,195.0693,302.6178,698.6561,435.9257,757.0075,384.0331
0.06,360.7795,500.9361,380.3114,-4.41361,6.987944,-4.297307,-4.815519,-37.97688,6.619004,87.66154,82.46673,593.6768,237.3825,594.0236,610.4788,246.4215,541.0388,195.1798,302.4872,698.5589,436.1962,757.0322,383.7711
0.07,360.8509,500.9074,380.2991,-4.337707,7.031921,-4.339483,-4.866465,-38.02555,6.672074,87.67915,82.44431,593.7365,237.3263,593.9591,610.5106,246.4249,540.9138,195.2053,302.3587,698.4719,436.2696,756.9399,383.7655
0.08,360.7065,500.8072,380.2515,-4.86531,7.057716,-4.135585,-4.454401,-37.98296,6.489399,87.68249,82.42545,593.7567,237.2293,593.8529,610.3054,246.2949,540.8049,195.2009,302.2609,698.3482,436.3757,756.8615,383.7286
0.09,360.743,500.7586,380.2302,-4.943763,7.077863,-4.141624,-4.364133,-37.97935,6.511721,87.67185,82.45512,593.7603,237.146,593.7499,610.2928,246.2344,540.6749,195.2036,302.1297,698.2223,436.4728,756.7955,383.7858
0.1,360.7821,500.7323,380.2156,-4.997338,7.105912,-4.133715,-4.302385,-37.98466,6.498871,87.65957,82.45238,593.8069,237.0589,593.7209,610.3009,246.1914,540.5585,195.1924,302.0249,698.0895,436.5694,756.7325,383.8137
